player,team,fgp3,fgp3_nba_range,fga3,fga3_nba_range
Fred VanVleet,Wichita State,0.38538205980066445183,0.36111111111111111111,301,108
Tra Holder,Arizona State,0.34589800443458980044,0.36099585062240663900,451,241
Matt Williams,UCF,0.36229205175600739372,0.36078431372549019608,541,255
Maverick Rowan,North Carolina State,0.34666666666666666667,0.36075949367088607595,375,158
Jabari Bird,California,0.37295081967213114754,0.36018957345971563981,488,211
Dorian Pickens,Stanford,0.39793814432989690722,0.36000000000000000000,485,175
Deng Adel,Louisville,0.34859154929577464789,0.36000000000000000000,284,125
ShawnDre' Jones,Richmond,0.37812500000000000000,0.35975609756097560976,320,164
Ben Emelogu II,SMU,0.35774647887323943662,0.35975609756097560976,355,164
Jordan Barnett,Missouri,0.37537537537537537538,0.35975609756097560976,333,164
Trey Davis,Massachusetts,0.31958762886597938144,0.35947712418300653595,291,153
Deandre Burnett,Ole Miss,0.35128205128205128205,0.35937500000000000000,390,192
Malik Newman,Kansas,0.40168539325842696629,0.35897435897435897436,356,156
Antonio Blakeney,LSU,0.34532374100719424460,0.35897435897435897436,278,117
Louis Dabney,Tulane,0.33333333333333333333,0.35877862595419847328,309,131
Zak Irvin,Michigan,0.35963581183611532625,0.35820895522388059701,659,335
Jherrod Stiggers,Houston,0.36902050113895216401,0.35789473684210526316,439,190
Ray Bowles Jr.,Fresno State,0.32684824902723735409,0.35779816513761467890,257,109
Devon Turk,Loyola (IL),0.38783269961977186312,0.35779816513761467890,263,109
Nate Mason,Minnesota,0.35538752362948960302,0.35766423357664233577,529,274
J.P. Macura,Xavier,0.35271317829457364341,0.35763888888888888889,516,288
Seth Allen,Virginia Tech,0.36649214659685863874,0.35754189944134078212,382,179
Hugh Greenwood,New Mexico,0.32954545454545454545,0.35714285714285714286,264,112
Zach Kocur,Air Force,0.36728395061728395062,0.35714285714285714286,324,154
Julion Pearre,Utah State,0.36546184738955823293,0.35714285714285714286,249,112
T.J. Cline,Richmond,0.37234042553191489362,0.35664335664335664336,282,143
Rodney Pryor,Georgetown,0.38281250000000000000,0.35658914728682170543,256,129
